identifier,name,description,url,startDate,endDate,openingHours,lotValue,lotPrice,lotPricePeriod,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,organizerName,organizerIdentifier,contactPointName,contactPointEmail,contactPointTelephone,contactPointURL,decisionType,decisionTitle,decisionNumber,decisionIssued,decisionURL,publisherName,publisherIdentifier
Ідентифікатор,Назва,Опис,Посилання,Дата початку,Дата завершення,Графік роботи,Кількість місць,Орендна плата,Період нарахування сплати,Поштовий індекс,Назва країни,Назва регіону,Назва району,Назва населеного пункту,Вулиця або аналог,Номер будівлі,Номер корпусу,Опис розміщення,Назва організатора,Ідентифікатор організатора,Контактна особа/Приймальня,Адреса електронної пошти,Телефон,"Посилання на сторінку контактної особи, підрозділу або приймальні",Вид документа,Назва документа,Номер документа,Дата прийняття,Посилання на документ,Назва видавника,Ідентифікатор видавника
1,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Ср,Пт  07:00-14:00",10,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,площа Правобережна,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-04-2020-10 08:00-19:00,20,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Миру,127,null,"Кінцева зупинка 
громадського транспорту",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
3,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-04-2020-10 08:00-19:01,15,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Миру ,104,null,"Район
стоматологічної лікарні",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
4,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,30,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Миру ,104,null,"Район
стоматологічної лікарні",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
5,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,5,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Миру,127,null,"Кінцева зупинка 
громадського транспорту",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
6,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,4,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,"пр. Миру
",null,null,"Перетин пр. Миру, пр. Металургів, район підземного переходу",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
7,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,4,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,вул. П.Орлика,null,null,"Перетин вул. П.Орлика, вул. М.Грушевського",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
8,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,2,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Будівельників,null,null,"Перетин пр. Будівельників, вул. Бахчиванджі",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
9,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,4,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Металургів,102,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
